alt_id,rate2,rate3,cost,emission,risk,foster,risk1,risk2,risk3
05_15,5,15,1.28E+08,5.44E+06,1.28E+06,411941375,2352472.787,12291308.53,30238398.75
05_16,5,16,1.28E+08,5.44E+06,1.28E+06,350402637.2,2311998.359,12055975.86,30809420.27
05_17,5,17,1.28E+08,5.44E+06,1.29E+06,139274078.1,2417331.966,11161628.86,27132104.12
05_18,5,18,1.25E+08,1.49E+06,3.54E+06,16426946.16,3894244.176,8458259.588,17605061.37
05_19,5,19,1.18E+08,8.82E+05,4.76E+06,-5551719.712,4739230.475,5832169.467,7881206.548
05_20,5,20,1.11E+08,8.81E+05,4.06E+06,-5553955.099,3976350.126,5191755.314,7065623.27
05_21,5,21,1.02E+08,8.81E+05,3.23E+06,-5090653.756,3301221.873,4419778.335,6408292.4
05_22,5,22,9.81E+07,8.81E+05,2.78E+06,-4266071.915,2785344.536,3769693.187,5987895.754
05_23,5,23,9.45E+07,8.81E+05,2.11E+06,-3155712.435,2367026.831,3331786.444,5301775.134
05_24,5,24,9.15E+07,6.27E+05,2.95E+06,855234.3126,3015209.954,3045520.665,3056627.452
05_25,5,25,8.90E+07,6.24E+05,2.37E+06,0,2450417.204,2462214.163,2426423.012
06_15,6,15,1.21E+08,5.44E+06,1.24E+06,411941375,2224514.613,12938127.98,30238398.75
06_16,6,16,1.21E+08,5.44E+06,1.23E+06,350402637.2,2248493.047,12760508.04,30809420.27
06_17,6,17,1.21E+08,5.44E+06,1.23E+06,298059135.7,2310289.595,12900260.7,27132104.12
06_18,6,18,1.21E+08,5.44E+06,1.25E+06,9815434.228,3351080.209,10004429.76,17605061.37
06_19,6,19,1.17E+08,9.24E+05,4.42E+06,-10478992.61,4619678.803,6167006.437,7881206.548
06_20,6,20,1.10E+08,8.82E+05,4.07E+06,-7698374.944,4002736.531,5269187.453,7065623.27
06_21,6,21,1.05E+08,8.82E+05,3.34E+06,-7316615.174,3293909.128,4506910.474,6408292.4
06_22,6,22,1.01E+08,8.82E+05,2.63E+06,-6587769.456,2730761.705,3843184.36,5987895.754
06_23,6,23,9.69E+07,8.82E+05,2.19E+06,-5597169.967,2267929.219,3302897.365,5301775.134
06_24,6,24,9.39E+07,8.47E+05,1.90E+06,-6425423.619,1895019.347,3081856.874,3056627.452
06_25,6,25,9.07E+07,6.24E+05,2.44E+06,-2.622624397,2431362.353,2470952.764,2426423.012
07_15,7,15,1.16E+08,5.44E+06,1.15E+06,411941375,2196748.561,13617996.82,36841760.74
07_16,7,16,1.16E+08,5.44E+06,1.15E+06,350402637.2,2196307.254,13414469.28,37132903.23
07_17,7,17,1.16E+08,5.44E+06,1.16E+06,298059135.7,2198707.818,13189669.18,36093075.87
07_18,7,18,1.16E+08,5.44E+06,1.15E+06,253574663.2,2196965.486,13149833.31,36758240.82
07_19,7,19,1.15E+08,1.76E+06,2.35E+06,-1399876.643,2936306.407,9644428.992,23170184.85
07_20,7,20,1.10E+08,9.11E+05,3.88E+06,-11450321.32,3906883.483,5454989.342,8460187.896
07_21,7,21,1.04E+08,8.83E+05,3.25E+06,-9137113.055,3311985.907,4550155.331,7094474.119
07_22,7,22,9.98E+07,8.83E+05,2.57E+06,-8464027.962,2698638.274,3933022.373,6327460.345
07_23,7,23,9.62E+07,8.83E+05,2.27E+06,-7539013.388,2244223.54,3511360.601,5903013.985
07_24,7,24,9.32E+07,8.51E+05,1.89E+06,-9201916.514,1922824.566,3174038.747,5577400.486
07_25,7,25,9.05E+07,6.64E+05,2.17E+06,-177479.8361,2218929.935,2953823.126,4644993.242
08_15,8,15,1.11E+08,5.44E+06,1.06E+06,411941375,2060111.488,13743360.93,38470268.33
08_16,8,16,1.11E+08,5.44E+06,1.06E+06,350402637.2,2010995.143,13634511.2,38239020.31
08_17,8,17,1.11E+08,5.44E+06,1.05E+06,298059135.7,1990315.359,13225346.5,39020411.98
08_18,8,18,1.11E+08,5.44E+06,1.05E+06,253574663.2,2079148.454,13655812.31,39555279.71
08_19,8,19,1.11E+08,5.44E+06,1.05E+06,-9577121.591,2887400.965,9678730.424,24669174.75
08_20,8,20,1.09E+08,1.49E+06,2.47E+06,-7463167.182,2907094.152,7928225.68,20533056.61
08_21,8,21,1.04E+08,8.90E+05,3.22E+06,-11580759.37,3260996.629,4656599.458,7772352.521
08_22,8,22,9.92E+07,8.83E+05,2.69E+06,-10000133.13,2743674.839,4099406.251,6829511.143
08_23,8,23,9.56E+07,8.83E+05,2.32E+06,-9111857.857,2306007.419,3564391.608,6349934.162
08_24,8,24,9.26E+07,8.52E+05,1.81E+06,-10933363.36,1838504.429,3043632.474,5900560.867
08_25,8,25,9.01E+07,6.68E+05,2.08E+06,-1632784.982,2195066.507,2961377.925,5166436.694
09_15,9,15,1.07E+08,5.44E+06,9.31E+05,411941375,1875380.819,13130523.62,40786091.35
09_16,9,16,1.07E+08,5.44E+06,9.39E+05,350402637.2,1853369.198,13735062.77,40125402.31
09_17,9,17,1.07E+08,5.44E+06,9.44E+05,298059135.7,1860819.458,13659088.32,39851291.14
09_18,9,18,1.07E+08,5.44E+06,9.40E+05,253574663.2,1899945.776,13212169.08,40600741.33
09_19,9,19,1.07E+08,5.44E+06,9.19E+05,215799052.2,1862740.955,13272060.5,41227112.25
09_20,9,20,1.07E+08,1.77E+06,1.89E+06,-16688561.41,2489610.927,9361828.06,24480592.19
09_21,9,21,1.03E+08,9.14E+05,3.11E+06,-17242081.74,3236370.294,5109431.687,8950714.231
09_22,9,22,9.86E+07,8.84E+05,2.73E+06,-11270102.58,2811155.85,4102497.431,7472387.18
09_23,9,23,9.50E+07,8.84E+05,2.25E+06,-10402387.94,2271467.162,3761549.805,6624204.92
09_24,9,24,9.20E+07,8.52E+05,1.87E+06,-12338345.58,1895221.486,3257510.275,6513333.947
09_25,9,25,8.95E+07,8.43E+05,1.51E+06,-9259102.833,1596596.166,3016622.436,5738736.272
10_15,10,15,1.04E+08,5.44E+06,8.32E+05,411941375,1720797.929,13343268.48,41540434.41
10_16,10,16,1.04E+08,5.44E+06,8.21E+05,350402637.2,1696436.359,13338277.31,41598949.23
10_17,10,17,1.04E+08,5.44E+06,8.29E+05,298059135.7,1677755.991,13265128.78,42177647.76
10_18,10,18,1.04E+08,5.44E+06,8.33E+05,253574663.2,1671475.593,13238625.82,41967566.6
10_19,10,19,1.04E+08,5.44E+06,8.26E+05,215799052.2,1668416.881,13385775.02,41915085.16
10_20,10,20,1.04E+08,5.44E+06,8.36E+05,-23083458.89,2401586.975,9254465.302,25899164.28
10_21,10,21,1.02E+08,1.35E+06,2.17E+06,-26188109.2,2517786.452,8203673.713,21731825.08
10_22,10,22,9.81E+07,9.07E+05,2.50E+06,-16046309.29,2648639.917,4450732.985,8617012.949
10_23,10,23,9.45E+07,8.84E+05,2.22E+06,-11471328.67,2291956.706,3713357.008,6822571.484
10_24,10,24,9.15E+07,8.52E+05,1.88E+06,-13492933.43,1836449.486,3365901.995,6407675.151
10_25,10,25,8.90E+07,8.48E+05,1.49E+06,-11198971.02,1501280.153,2932917.421,6213446.416
11_15,11,15,1.02E+08,5.44E+06,7.26E+05,411941375,1519275.923,13200204.95,42037245.88
11_16,11,16,1.02E+08,5.44E+06,7.19E+05,350402637.2,1588987.348,12646989.47,43221197.25
11_17,11,17,1.02E+08,5.44E+06,7.16E+05,298059135.7,1470731.578,12650898.31,42643590.74
11_18,11,18,1.02E+08,5.44E+06,7.25E+05,253574663.2,1517808.724,12747437.55,43576162.69
11_19,11,19,1.02E+08,5.44E+06,7.28E+05,215799052.2,1501021.719,12943575.49,43313989.8
11_20,11,20,1.02E+08,5.44E+06,7.30E+05,-27194363.53,2236673.202,9543338.636,29445903.72
11_21,11,21,1.01E+08,1.40E+06,2.11E+06,-28833837.73,2561452.459,8055351.259,23162099.85
11_22,11,22,9.75E+07,9.19E+05,2.44E+06,-19916684.01,2548835.753,4636619.009,9025344.468
11_23,11,23,9.41E+07,8.89E+05,2.14E+06,-12983947.82,2248452.171,3660869.127,7305285.241
11_24,11,24,9.11E+07,8.53E+05,1.78E+06,-14450792.88,1876652.205,3336806.782,7159424.595
11_25,11,25,8.86E+07,8.51E+05,1.46E+06,-12740708.34,1552533.279,3000726.633,6711881.741
12_15,12,15,1.00E+08,5.42E+06,7.29E+05,411941375,1551443.77,13419844.84,46653200.89
12_16,12,16,1.00E+08,5.42E+06,7.14E+05,350402637.2,1517781.542,13243271.31,46564572.03
12_17,12,17,1.00E+08,5.42E+06,7.30E+05,298059135.7,1489523.674,13308323.89,46544478.11
12_18,12,18,1.00E+08,5.42E+06,7.32E+05,253574663.2,1444993.386,13177150.92,47111777.31
12_19,12,19,1.00E+08,5.42E+06,7.35E+05,215799052.2,1492910.982,12930880.87,45634914.32
12_20,12,20,1.00E+08,5.42E+06,7.42E+05,183743672.5,1457084.932,12990394.64,46165371.83
12_21,12,21,9.95E+07,1.62E+06,1.95E+06,-35024197.46,2411027.85,9485237.044,27917310.8
12_22,12,22,9.71E+07,9.26E+05,2.50E+06,-22581104.16,2502500.86,4558264.735,9711151.806
12_23,12,23,9.36E+07,9.13E+05,2.08E+06,-17951101.83,2141182.123,3911558.272,8867487.392
12_24,12,24,9.07E+07,8.53E+05,1.82E+06,-15251444.84,1846031.843,3166073.426,7349324.121
12_25,12,25,8.82E+07,8.53E+05,1.49E+06,-13929472.39,1504218.235,2939459.849,6601712.46
13_15,13,15,9.82E+07,5.40E+06,8.06E+05,411941375,1526655.246,14781428.35,50828835.56
13_16,13,16,9.82E+07,5.40E+06,8.12E+05,350402637.2,1557928.9,14446402,51193831.21
13_17,13,17,9.82E+07,5.40E+06,8.13E+05,298059135.7,1525743.953,13841258.26,51313537.79
13_18,13,18,9.82E+07,5.40E+06,8.07E+05,253574663.2,1520055.029,14014386.69,51050718.04
13_19,13,19,9.82E+07,5.40E+06,8.09E+05,215799052.2,1474461.66,13700797.94,50888383.75
13_20,13,20,9.82E+07,5.40E+06,8.06E+05,183743672.5,1511668.078,13991320.16,51127721.69
13_21,13,21,9.82E+07,5.40E+06,8.11E+05,-39931249.66,2602945.818,9946647.681,31662127.57
13_22,13,22,9.59E+07,1.29E+06,2.33E+06,-38100078.04,2691378.685,9190610.958,29801224.7
13_23,13,23,9.32E+07,9.22E+05,2.01E+06,-20856065.66,2112664.992,4106429.711,9410378.509
13_24,13,24,9.04E+07,8.53E+05,1.83E+06,-15924698.25,1901563.504,3260900.462,7103905.884
13_25,13,25,8.79E+07,8.53E+05,1.49E+06,-14595410.54,1514451.894,3009356.941,6744840.747
14_15,14,15,9.66E+07,5.40E+06,6.76E+05,411941375,1366332.224,13621828.72,51956914.31
14_16,14,16,9.66E+07,5.40E+06,6.83E+05,350402637.2,1302643.405,13320472.72,51093199.28
14_17,14,17,9.66E+07,5.40E+06,6.80E+05,298059135.7,1326618.645,13737956.5,52005315.81
14_18,14,18,9.66E+07,5.40E+06,6.91E+05,253574663.2,1284884.812,12923719.8,53611489.09
14_19,14,19,9.66E+07,5.40E+06,6.74E+05,215799052.2,1362826.43,13597353.65,52303627.59
14_20,14,20,9.66E+07,5.40E+06,6.87E+05,183743672.5,1284363.884,14049100.59,52642701.99
14_21,14,21,9.66E+07,5.40E+06,6.84E+05,-37107192.66,2148342.081,11631204.24,40931284.92
14_22,14,22,9.49E+07,1.30E+06,2.24E+06,-41008896.18,2580664.54,9781261.692,29776971.63
14_23,14,23,9.26E+07,1.03E+06,2.17E+06,-32358746.38,2396167.174,7765743.455,23846043.84
14_24,14,24,9.01E+07,8.57E+05,1.80E+06,-17754328.2,1817544.959,3338286.035,7607921.641
14_25,14,25,8.76E+07,8.53E+05,1.47E+06,-15156414.89,1500843.355,3095255.366,7062145.194
15_15,15,15,9.54E+07,5.40E+06,5.87E+05,411941375,1143248.388,12816111.54,52253389.31
15_16,15,16,9.54E+07,5.40E+06,5.80E+05,350402637.2,1144835.86,12344663.75,54987164.43
15_17,15,17,9.54E+07,5.40E+06,5.81E+05,298059135.7,1128551.491,12843450.27,51639964.91
15_18,15,18,9.54E+07,5.40E+06,5.86E+05,253574663.2,1122277.019,13102483.37,52698425.5
15_19,15,19,9.54E+07,5.40E+06,5.87E+05,215799052.2,1154247.972,13013244.01,53841047.82
15_20,15,20,9.54E+07,5.40E+06,5.81E+05,183743672.5,1181313.019,12811655.71,53610992.16
15_21,15,21,9.54E+07,5.40E+06,5.89E+05,-39657458.21,2052949.722,11470657.31,41574960.73
15_22,15,22,9.41E+07,1.30E+06,2.22E+06,-43136854.69,2493420.884,9615981.396,30329824.6
15_23,15,23,9.19E+07,1.04E+06,2.18E+06,-36483654.87,2453250.697,8105839.046,25761945.27
15_24,15,24,8.97E+07,1.03E+06,1.77E+06,-29808421.25,1933972.49,7085476.502,23237360.9
15_25,15,25,8.73E+07,8.54E+05,1.45E+06,-15779493.02,1473089.01,2983500.332,7082248.397
